created_at,followers_count,friends_count,handle,hashtags,retweet,symbols,tweet,tweet_id,user_location,user_mentions
Thu Oct 29 15:18:16 +0000 2020,1088.0,625.0,sweetaidpapi,[],1.0,[],"New trailer for ‘The Crown’ Season 4 streaming on @Netflix November 15th. 👑

 https://t.co/KZswmxodBZ",1.3218337370053796e+18,MAXWELLHYLL,"[{'screen_name': 'PopCrave', 'name': 'Pop Crave', 'id': 4429003533, 'id_str': '4429003533', 'indices': [3, 12]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [64, 72]}]"
Thu Oct 29 15:18:08 +0000 2020,133.0,77.0,PeterMaier36,[],0.0,[],"@bravebluewrld @Water @netflix The real sad part is that EPA already in 1978 acknowledged that not only much better sewage treatment was available, but could be built and operated a way lower cost. Dr.Pasveer developed the oxidation ditch in 1948,but still ignored due to incorrect testing! https://t.co/gMYvnrgLPU",1.321833704512123e+18,"Stansbury, UT","[{'screen_name': 'bravebluewrld', 'name': 'Brave Blue World', 'id': 1052871811426410496, 'id_str': '1052871811426410496', 'indices': [0, 14]}, {'screen_name': 'Water', 'name': 'Water.org', 'id': 19673700, 'id_str': '19673700', 'indices': [15, 21]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [22, 30]}]"
Thu Oct 29 15:17:58 +0000 2020,3819.0,700.0,chihohoho,"[{'text': 'NowWatching', 'indices': [0, 12]}]",0.0,[],"#NowWatching @netflix Blood of Zeus. If Grolier told this Greek tale, they probably don't need to hard sell their book that... erm, hard.",1.321833664385151e+18,Worldwide,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [13, 21]}]"
Thu Oct 29 15:17:56 +0000 2020,445.0,686.0,katecambridge24,[],1.0,[],"New trailer for ‘The Crown’ Season 4 streaming on @Netflix November 15th. 👑

 https://t.co/KZswmxodBZ",1.321833655870853e+18,USA,"[{'screen_name': 'PopCrave', 'name': 'Pop Crave', 'id': 4429003533, 'id_str': '4429003533', 'indices': [3, 12]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [64, 72]}]"
Thu Oct 29 15:17:53 +0000 2020,1365.0,1633.0,cinansdl,[],1.0,[],"New trailer for ‘The Crown’ Season 4 streaming on @Netflix November 15th. 👑

 https://t.co/KZswmxodBZ",1.3218336409307177e+18,,"[{'screen_name': 'PopCrave', 'name': 'Pop Crave', 'id': 4429003533, 'id_str': '4429003533', 'indices': [3, 12]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [64, 72]}]"
Thu Oct 29 15:17:51 +0000 2020,72.0,237.0,nurudeen_wadata,[],0.0,[],@yammama @netflix I will create time to watch it.,1.321833632214995e+18,"Kano, Nigeria","[{'screen_name': 'yammama', 'name': 'Nasir Yammama', 'id': 107683733, 'id_str': '107683733', 'indices': [0, 8]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [9, 17]}]"
Thu Oct 29 15:17:50 +0000 2020,440.0,357.0,AyeViaJae,[],0.0,[],@netflix Harry Potter really coming in November ?,1.3218336295472906e+18,562,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [0, 8]}]"
Thu Oct 29 15:17:36 +0000 2020,384.0,269.0,geeedanieel,[],1.0,[],I never thought I would be casting a young me in a show about my life. I can’t wait for the world to see @ItsJadenMichael be an all-star on @netflix #ColinInBlackAndWhite @ava https://t.co/ygb4F4kgM5,1.3218335729411564e+18,,"[{'screen_name': 'Kaepernick7', 'name': 'Colin Kaepernick', 'id': 45055696, 'id_str': '45055696', 'indices': [3, 15]}, {'screen_name': 'ItsJadenMichael', 'name': 'Jaden Michael', 'id': 583363034, 'id_str': '583363034', 'indices': [122, 138]}]"
Thu Oct 29 15:17:25 +0000 2020,178.0,250.0,PilarM97,[],1.0,[],"New trailer for ‘The Crown’ Season 4 streaming on @Netflix November 15th. 👑

 https://t.co/KZswmxodBZ",1.3218335246814454e+18,,"[{'screen_name': 'PopCrave', 'name': 'Pop Crave', 'id': 4429003533, 'id_str': '4429003533', 'indices': [3, 12]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [64, 72]}]"
Thu Oct 29 15:17:22 +0000 2020,115.0,67.0,wiz0money,"[{'text': 'QueensGambit', 'indices': [38, 51]}, {'text': 'chess', 'indices': [65, 71]}]",0.0,[],"@netflix really impressed me with the #QueensGambit series. As a #chess enthusiast, I must say, they really captured the way those games went and how ones heart can get in ones mouth based on a single move. 
Great work! 😊",1.3218335117714268e+18,Nigeria,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [0, 8]}]"
