num_topics,alpha,eta,coherence_score
6,0.01,0.01,0.29841186048364915
6,0.01,0.31,0.32684011419312003
6,0.01,0.61,0.33903545365842813
6,0.01,0.9099999999999999,0.33914782234421037
6,0.01,symmetric,0.3323620398865264
6,0.31,0.01,0.3157694765527202
6,0.31,0.31,0.33157914411307104
6,0.31,0.61,0.3397330252714368
6,0.31,0.9099999999999999,0.3559527469514852
6,0.31,symmetric,0.2921969019837625
6,0.61,0.01,0.3071381938949882
6,0.61,0.31,0.3085350464460105
6,0.61,0.61,0.30705914610975643
6,0.61,0.9099999999999999,0.30531993784386485
6,0.61,symmetric,0.30423913529114943
6,0.9099999999999999,0.01,0.31268881887425454
6,0.9099999999999999,0.31,0.30195244873166044
6,0.9099999999999999,0.61,0.33751877754281234
6,0.9099999999999999,0.9099999999999999,0.32504166878981094
6,0.9099999999999999,symmetric,0.30862614120076004
6,symmetric,0.01,0.30201112365492017
6,symmetric,0.31,0.31602700623988894
6,symmetric,0.61,0.3469467002241897
6,symmetric,0.9099999999999999,0.34105878674560514
6,symmetric,symmetric,0.30627025991586326
10,0.01,0.01,0.31085396063052745
10,0.01,0.31,0.33002272262521987
10,0.01,0.61,0.3437478498214226
10,0.01,0.9099999999999999,0.33488329203983247
10,0.01,symmetric,0.35119473275976626
10,0.31,0.01,0.30511106088197415
10,0.31,0.31,0.323193073535472
10,0.31,0.61,0.3449198069659011
10,0.31,0.9099999999999999,0.35329121899648325
10,0.31,symmetric,0.32249818259577806
10,0.61,0.01,0.30357596989602065
10,0.61,0.31,0.3071162403724139
10,0.61,0.61,0.31317087493336015
10,0.61,0.9099999999999999,0.307968598664241
10,0.61,symmetric,0.3223456326573503
10,0.9099999999999999,0.01,0.3144470825280907
10,0.9099999999999999,0.31,0.31450862281616304
10,0.9099999999999999,0.61,0.3241161561330582
10,0.9099999999999999,0.9099999999999999,0.323182140882272
10,0.9099999999999999,symmetric,0.3037897348934625
10,symmetric,0.01,0.321300471450671
10,symmetric,0.31,0.347183688561266
10,symmetric,0.61,0.3409543947026633
10,symmetric,0.9099999999999999,0.32581610411702466
10,symmetric,symmetric,0.31431920677569236
14,0.01,0.01,0.3131847289254131
14,0.01,0.31,0.3460776350039071
14,0.01,0.61,0.33858647682017784
14,0.01,0.9099999999999999,0.3457399689281628
14,0.01,symmetric,0.305169443838016
14,0.31,0.01,0.2983190677678146
14,0.31,0.31,0.3181499180197957
14,0.31,0.61,0.3225056451145544
14,0.31,0.9099999999999999,0.31018623519225497
14,0.31,symmetric,0.31119903959924616
14,0.61,0.01,0.29933043938812437
14,0.61,0.31,0.316897681767574
14,0.61,0.61,0.3209083341351926
14,0.61,0.9099999999999999,0.3185893577172046
14,0.61,symmetric,0.2933302069054355
14,0.9099999999999999,0.01,0.29754746096943674
14,0.9099999999999999,0.31,0.3159263191043142
14,0.9099999999999999,0.61,0.3254257324174205
14,0.9099999999999999,0.9099999999999999,0.3412750184142618
14,0.9099999999999999,symmetric,0.30117827276533365
14,symmetric,0.01,0.3040538116518265
14,symmetric,0.31,0.33729405078577973
14,symmetric,0.61,0.3471402446798226
14,symmetric,0.9099999999999999,0.3428155806672263
14,symmetric,symmetric,0.305427009736911
18,0.01,0.01,0.30045721490211574
18,0.01,0.31,0.31306247096731477
18,0.01,0.61,0.3218295254093398
18,0.01,0.9099999999999999,0.3368027829777669
18,0.01,symmetric,0.3038142608921601
18,0.31,0.01,0.3100401091772065
18,0.31,0.31,0.31623376748844134
18,0.31,0.61,0.3135296772922531
18,0.31,0.9099999999999999,0.30646525873930425
18,0.31,symmetric,0.30955734285520287
18,0.61,0.01,0.30270997785977216
18,0.61,0.31,0.33545432991808294
18,0.61,0.61,0.31728239479314424
18,0.61,0.9099999999999999,0.32798318586488845
18,0.61,symmetric,0.3158066357168838
18,0.9099999999999999,0.01,0.29006589571143115
18,0.9099999999999999,0.31,0.3231579041915819
18,0.9099999999999999,0.61,0.3363657157341238
18,0.9099999999999999,0.9099999999999999,0.3201918385651365
18,0.9099999999999999,symmetric,0.29180138339029127
18,symmetric,0.01,0.30159517848615813
18,symmetric,0.31,0.3181573267196828
18,symmetric,0.61,0.3303959639843581
18,symmetric,0.9099999999999999,0.3436683748762827
18,symmetric,symmetric,0.29448376248087854
22,0.01,0.01,0.29267958474956757
22,0.01,0.31,0.3161023308951221
22,0.01,0.61,0.34656415519083833
22,0.01,0.9099999999999999,0.364232497621293
22,0.01,symmetric,0.288279540393689
22,0.31,0.01,0.3260711548125634
22,0.31,0.31,0.3270102427971547
22,0.31,0.61,0.3144883778398819
22,0.31,0.9099999999999999,0.31012065115985854
22,0.31,symmetric,0.32334894281022913
22,0.61,0.01,0.31864083539181326
22,0.61,0.31,0.32015071774116266
22,0.61,0.61,0.3176787359336395
22,0.61,0.9099999999999999,0.3813694101492588
22,0.61,symmetric,0.3283776870422183
22,0.9099999999999999,0.01,0.29971572216773845
22,0.9099999999999999,0.31,0.32954682250964074
22,0.9099999999999999,0.61,0.3773265676591638
22,0.9099999999999999,0.9099999999999999,0.3448288302160736
22,0.9099999999999999,symmetric,0.3004672728807759
22,symmetric,0.01,0.297184884369102
22,symmetric,0.31,0.32749700131083986
22,symmetric,0.61,0.33875879078482646
22,symmetric,0.9099999999999999,0.3593598567526007
22,symmetric,symmetric,0.3303268399807725
