created_at,followers_count,friends_count,handle,hashtags,retweet,symbols,tweet,tweet_id,user_location,user_mentions
Thu Oct 01 21:58:43 +0000 2020,674.0,704.0,raquelgomita,[],1.0,[],"Sex Education fans from around the world discuss the iconic bus scene from Season 2 — a moment that has resonated deeply, thanks to its powerful portrayal of female friendship. https://t.co/h7l9rFu8r2",1.3117876565446492e+18,"Monterrey, Nuevo León","[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [3, 11]}]"
Thu Oct 01 21:58:42 +0000 2020,87.0,130.0,Quennofgalaxy,[],1.0,[],"“If you’ve examined your heart, and this is your thing, go do your thing.” - Adjoa Andoh (@andoh_adjoa) 

Can’t wait for you all to see Adjoa do her thing in #Bridgerton, coming to @Netflix later this year. 🎬: @bushtheatre https://t.co/ZtGHNQIDnb",1.3117876525181624e+18,She/Her,"[{'screen_name': 'shondaland', 'name': 'shondaland tv', 'id': 1217858534387224579, 'id_str': '1217858534387224579', 'indices': [3, 14]}, {'screen_name': 'andoh_adjoa', 'name': 'Adjoa Andoh', 'id': 1102614953335361541, 'id_str': '1102614953335361541', 'indices': [106, 118]}]"
Thu Oct 01 21:58:35 +0000 2020,157.0,327.0,jnell_stclair,[],1.0,[],Now that The Parkers is on @netflix 😂😂😂 I’m ready https://t.co/RWujmQOJXO,1.3117876200710758e+18,,"[{'screen_name': 'NOTKarltonBanks', 'name': 'Stanley “HEY BOO” Olgavee', 'id': 177042919, 'id_str': '177042919', 'indices': [3, 19]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [48, 56]}]"
Thu Oct 01 21:58:26 +0000 2020,800.0,4961.0,YeauxA,"[{'text': 'Kingdom', 'indices': [34, 42]}, {'text': 'KingdomNetflix', 'indices': [99, 114]}, {'text': 'MozesAndTheFirstBorn', 'indices': [128, 149]}, {'text': 'JonathanTucker', 'indices': [180, 195]}]",0.0,[],"Skills, I got skills...@bbalasco 
#Kingdom...writing, acting, music all gut-wrenchingly perfect ~🥂
#KingdomNetflix
@netflix 
⬆️ #MozesAndTheFirstBorn @ best music ~  @MozesATF 
⬇️ #JonathanTucker @ best character https://t.co/VGfhG27bjv",1.3117875842768364e+18,"the real LA, not L.A. ~ #NOLA","[{'screen_name': 'bbalasco', 'name': 'Byron Balasco', 'id': 234048653, 'id_str': '234048653', 'indices': [23, 32]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [115, 123]}, {'screen_name': 'MozesATF', 'name': 'Mozes and the Firstborn', 'id': 277478100, 'id_str': '277478100', 'indices': [166, 175]}]"
Thu Oct 01 21:58:23 +0000 2020,88.0,193.0,Toboldlychlo,[],0.0,[],@cgbrannigan @richrichvf @Sharipep @netflix You’re right. I was just so upset that he could do that to his wife and girls that I wanted him to suffer. He ultimately did which is good!,1.31178757116117e+18,"San Jose, CA","[{'screen_name': 'cgbrannigan', 'name': 'Chris Brannigan', 'id': 19994342, 'id_str': '19994342', 'indices': [0, 12]}, {'screen_name': 'richrichvf', 'name': 'Richard V.', 'id': 1288633980510666756, 'id_str': '1288633980510666756', 'indices': [13, 24]}, {'screen_name': 'Sharipep', 'name': 'Doña Shareesi 🐉', 'id': 47419539, 'id_str': '47419539', 'indices': [25, 34]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [35, 43]}]"
Thu Oct 01 21:58:18 +0000 2020,16.0,46.0,kireeeeeeeeee,[],0.0,[],"@netflix is acc being so stupid. if another network renews @thesociety, i’m telling you they will be making so much money. have you seen the amount of people in our fan base? either netflix renews the society or faces a huge loss over their stupid mistake.",1.311787550017835e+18,,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [0, 8]}, {'screen_name': 'thesociety', 'name': 'The Society', 'id': 1064947685390725120, 'id_str': '1064947685390725120', 'indices': [59, 70]}]"
Thu Oct 01 21:58:17 +0000 2020,3452.0,2101.0,anoncitizenhere,[],0.0,[],"@docrussjackson @netflix There's a great life story of Malcolm X (forgot the name of it?), it's great, upsetting &amp; informative too! 👍",1.3117875462177178e+18,London,"[{'screen_name': 'docrussjackson', 'name': 'GET A GRIP', 'id': 2813049204, 'id_str': '2813049204', 'indices': [0, 15]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [16, 24]}]"
Thu Oct 01 21:58:16 +0000 2020,1141.0,999.0,lilidetail,"[{'text': 'CheerNetflix', 'indices': [28, 41]}, {'text': 'TheBingeWorthyShow', 'indices': [46, 65]}, {'text': 'PCAs', 'indices': [66, 71]}]",1.0,[],Vote for #CheerNetflix for #TheBingeWorthyShow #PCAs @Netflix,1.3117875420150948e+18,2.607 km,"[{'screen_name': 'peopleschoice', 'name': ""E! People's Choice"", 'id': 34993020, 'id_str': '34993020', 'indices': [3, 17]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [72, 80]}]"
Thu Oct 01 21:58:11 +0000 2020,565.0,1084.0,oieusouoarthu,[],1.0,[],Hi @Netflix how many comment like this one do you need before you admit your mistake?👇 https://t.co/zq8ObpGa4S,1.3117875217188577e+18,outra dimensão ,"[{'screen_name': 'JulesVictor5', 'name': 'Jules Victor BLM #SaveTheIceCAp or die in a oven', 'id': 1167587594567409666, 'id_str': '1167587594567409666', 'indices': [3, 16]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [21, 29]}]"
Thu Oct 01 21:58:10 +0000 2020,24.0,331.0,DreadWeirdo,[],0.0,[],@BloemenpotMC @SwordArtUSA @netflix Uhm it's right there... It's there as sword art online season 3,1.311787516224254e+18,Jamaica,"[{'screen_name': 'BloemenpotMC', 'name': 'Bloemenpot', 'id': 442975512, 'id_str': '442975512', 'indices': [0, 13]}, {'screen_name': 'SwordArtUSA', 'name': 'Sword Art Online', 'id': 904613563, 'id_str': '904613563', 'indices': [14, 26]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [27, 35]}]"
