created_at,followers_count,friends_count,handle,hashtags,retweet,symbols,tweet,tweet_id,user_location,user_mentions
Mon Oct 26 09:02:27 +0000 2020,3.0,127.0,Shadowzzzzz6,[],1.0,[],"We're giving away the ULTIMATE Next Gen setup.

A custom @robeytech @NZXT PC ft. @TEAMEVGA RTX 3080 FTW3 and @IntelGaming 10900KF 

PLUS these next gen consoles 🎮
@PlayStation 5
@XBOX Series X

Enter here ► https://t.co/RLqdswtrqC

#3080 #XboxSeriesX #PS5 https://t.co/pE3PaQzKJy",1.3206519968321454e+18,,"[{'screen_name': 'Newegg', 'name': 'Newegg', 'id': 17221819, 'id_str': '17221819', 'indices': [3, 10]}, {'screen_name': 'robeytech', 'name': 'Robeytech', 'id': 31544333, 'id_str': '31544333', 'indices': [69, 79]}, {'screen_name': 'NZXT', 'name': 'NZXT', 'id': 19936982, 'id_str': '19936982', 'indices': [80, 85]}, {'screen_name': 'TEAMEVGA', 'name': 'EVGA', 'id': 26180582, 'id_str': '26180582', 'indices': [93, 102]}, {'screen_name': 'IntelGaming', 'name': 'Intel Gaming', 'id': 414334713, 'id_str': '414334713', 'indices': [121, 133]}]"
Mon Oct 26 09:02:22 +0000 2020,3.0,14.0,Millamattila,[],0.0,[],@Xbox Maybe the point is that the two pictures correspond to two separate  platforms...🤔,1.3206519772195185e+18,,"[{'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [0, 5]}]"
Mon Oct 26 09:02:01 +0000 2020,10.0,17.0,Requis02,[],0.0,[],@GearsofWar @Xbox @DaveBautista Ew why?,1.320651889793532e+18,,"[{'screen_name': 'GearsofWar', 'name': 'Gears of War', 'id': 146155608, 'id_str': '146155608', 'indices': [0, 11]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [12, 17]}, {'screen_name': 'DaveBautista', 'name': 'Super Duper Fly', 'id': 323120520, 'id_str': '323120520', 'indices': [18, 31]}]"
Mon Oct 26 09:01:33 +0000 2020,21.0,154.0,WildcardOnYT,[],1.0,[],"We're giving away the ULTIMATE Next Gen setup.

A custom @robeytech @NZXT PC ft. @TEAMEVGA RTX 3080 FTW3 and @IntelGaming 10900KF 

PLUS these next gen consoles 🎮
@PlayStation 5
@XBOX Series X

Enter here ► https://t.co/RLqdswtrqC

#3080 #XboxSeriesX #PS5 https://t.co/pE3PaQzKJy",1.320651772004688e+18,,"[{'screen_name': 'Newegg', 'name': 'Newegg', 'id': 17221819, 'id_str': '17221819', 'indices': [3, 10]}, {'screen_name': 'robeytech', 'name': 'Robeytech', 'id': 31544333, 'id_str': '31544333', 'indices': [69, 79]}, {'screen_name': 'NZXT', 'name': 'NZXT', 'id': 19936982, 'id_str': '19936982', 'indices': [80, 85]}, {'screen_name': 'TEAMEVGA', 'name': 'EVGA', 'id': 26180582, 'id_str': '26180582', 'indices': [93, 102]}, {'screen_name': 'IntelGaming', 'name': 'Intel Gaming', 'id': 414334713, 'id_str': '414334713', 'indices': [121, 133]}]"
Mon Oct 26 09:00:48 +0000 2020,1033.0,940.0,GartonArthur,[],0.0,[],@VOLTIC_EARTH @nabeel21484196 @Batmanfan166 @Xbox @Ubisoft R6 isn’t the 2nd most popular game on PC...it is up there but not 2nd.,1.3206515843768525e+18,"Wyoming, USA/ Norfolk UK","[{'screen_name': 'VOLTIC_EARTH', 'name': 'Rhys', 'id': 1319379540649644046, 'id_str': '1319379540649644046', 'indices': [0, 13]}, {'screen_name': 'nabeel21484196', 'name': 'nabeel', 'id': 1166390036935217152, 'id_str': '1166390036935217152', 'indices': [14, 29]}, {'screen_name': 'Batmanfan166', 'name': 'BatmanFan16', 'id': 1285772570357305345, 'id_str': '1285772570357305345', 'indices': [30, 43]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [44, 49]}, {'screen_name': 'Ubisoft', 'name': 'Ubisoft', 'id': 14922225, 'id_str': '14922225', 'indices': [50, 58]}]"
Mon Oct 26 09:00:01 +0000 2020,0.0,10.0,Luis46360888,[],0.0,[],@r3cusant @Xbox Buy a new one? Its not that hard. Stuff breaks unless you actually take care of it. Open it up and fix it yourself if it drifts. Its really not all that complicated,1.3206513871271895e+18,,"[{'screen_name': 'r3cusant', 'name': 'John', 'id': 18061738, 'id_str': '18061738', 'indices': [0, 9]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [10, 15]}]"
Mon Oct 26 08:59:58 +0000 2020,3.0,68.0,Nichola48917058,[],0.0,[],@Ozan_cul3rr @Xbox Console war in 2020:🤡,1.3206513745945436e+18,,"[{'screen_name': 'Ozan_cul3rr', 'name': 'sáfwáñ Ozan', 'id': 1198256616518377472, 'id_str': '1198256616518377472', 'indices': [0, 12]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [13, 18]}]"
Mon Oct 26 08:59:52 +0000 2020,13.0,149.0,SandeMC1103,[],0.0,[],@PiloticTv @Ozan_cul3rr @Xbox I'm tired of this shit,1.32065134627464e+18,,"[{'screen_name': 'PiloticTv', 'name': '🕯🎃Spooky Feat🎃🕯', 'id': 1263579701894938625, 'id_str': '1263579701894938625', 'indices': [0, 10]}, {'screen_name': 'Ozan_cul3rr', 'name': 'sáfwáñ Ozan', 'id': 1198256616518377472, 'id_str': '1198256616518377472', 'indices': [11, 23]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [24, 29]}]"
Mon Oct 26 08:59:41 +0000 2020,72.0,194.0,enduro_bud,[],1.0,[],"New vid - Playing Battlefield games on the Xbox Series X. Should BFV be updated to run at more FPS? Let's discuss!

Link 👉 https://t.co/J3G3ddniRL

@YouTubeGaming @Battlefield @EA_DICE @Xbox https://t.co/ZNbdK7CWrn",1.320651301756326e+18,,"[{'screen_name': 'jackfrags', 'name': 'JackFrags', 'id': 392031784, 'id_str': '392031784', 'indices': [3, 13]}]"
Mon Oct 26 08:59:38 +0000 2020,0.0,8.0,LeventTrollz,[],1.0,[],"We're giving away the ULTIMATE Next Gen setup.

A custom @robeytech @NZXT PC ft. @TEAMEVGA RTX 3080 FTW3 and @IntelGaming 10900KF 

PLUS these next gen consoles 🎮
@PlayStation 5
@XBOX Series X

Enter here ► https://t.co/RLqdswtrqC

#3080 #XboxSeriesX #PS5 https://t.co/pE3PaQzKJy",1.320651290515546e+18,,"[{'screen_name': 'Newegg', 'name': 'Newegg', 'id': 17221819, 'id_str': '17221819', 'indices': [3, 10]}, {'screen_name': 'robeytech', 'name': 'Robeytech', 'id': 31544333, 'id_str': '31544333', 'indices': [69, 79]}, {'screen_name': 'NZXT', 'name': 'NZXT', 'id': 19936982, 'id_str': '19936982', 'indices': [80, 85]}, {'screen_name': 'TEAMEVGA', 'name': 'EVGA', 'id': 26180582, 'id_str': '26180582', 'indices': [93, 102]}, {'screen_name': 'IntelGaming', 'name': 'Intel Gaming', 'id': 414334713, 'id_str': '414334713', 'indices': [121, 133]}]"
Mon Oct 26 08:59:28 +0000 2020,150.0,195.0,thebigroguebear,[],0.0,[],"Picked up the Xbox Icons Light to add to my collection!

I couldn't not have it! It goes so well with my PlayStation light. All that's missing is for a Nintendo one. 

Do you have the Xbox Icons Light or PlayStation Light?

@XboxANZ @Xbox @XboxGamePass @EBGamesAus https://t.co/BrXPZeIhCs",1.3206512487107338e+18,,"[{'screen_name': 'XboxANZ', 'name': 'Xbox ANZ', 'id': 18182371, 'id_str': '18182371', 'indices': [224, 232]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [233, 238]}, {'screen_name': 'XboxGamePass', 'name': 'Xbox Game Pass', 'id': 956692683661107201, 'id_str': '956692683661107201', 'indices': [239, 252]}, {'screen_name': 'EBGamesAus', 'name': 'EB Games Australia', 'id': 54037230, 'id_str': '54037230', 'indices': [253, 264]}]"
Mon Oct 26 08:59:22 +0000 2020,701.0,3008.0,LFC_Edwards,[],0.0,[],@Xbox Let side main character mask is red and on the right hand side it is white,1.3206512212507484e+18,"Liverpool, United Kingdom","[{'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [0, 5]}]"
Mon Oct 26 08:59:15 +0000 2020,332.0,43.0,ItsLox2200,[],1.0,[],You deserve to play some games this weekend,1.3206511909973115e+18,Canada,"[{'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [3, 8]}]"
